Size;Classic;Batch;Incremental
10;0.01693573;0.011247826;0.266940117
100;0.129142761;0.106531334;2.297481346
200;0.248334122;0.209061623;4.303562164
300;0.369952393;0.321578789;6.379884529
400;0.493952179;0.424196434;8.509588814
500;0.622040939;0.533441353;10.66652451
600;0.747598267;0.653880501;12.73376865
700;0.874682236;0.762630272;14.93686638
800;1.008078003;0.863117027;16.96596127
900;1.135933685;0.974945641;19.21347237
1000;1.27400322;1.076641273;21.27558575
