Size;Polling;Incremental
10;2,347272727;1,823636364
100;257,2454545;55,99454545
200;1056,96;152,1945455
300;2365,903636;259,6981818
400;4234,46;438,6345455
500;6706,761818;645,2945455
600;9607,203636;865,6836364
700;13980,00364;1178,990909
800;17149,76;1410,770909
900;21701,75636;1718,869091
1000;30218,80182;2366,738182
